Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
15,Dr. Jitendra Singh ,19,1,
20,Shri Faggan Singh Kulaste ,1,19,
22,Dr. Sanjay Jaiswal ,15,5,
31,Shri Rakesh Singh ,16,4,
32,Shri Nishikant Dubey ,20,0,
33,Shri Ganesh Singh ,18,2,
34,Dr. Kirit Solanki ,20,0,
35,Shri Uday Pratap Singh ,19,1,
37,Shri Rameswar Teli ,17,3,
40,Dr. Satya Pal Singh ,20,0,
41,Dr. Mahesh Sharma ,18,2,
42,Shri Rajendra Agrawal ,20,0,
43,Dr. Ram Shankar Katheria ,16,4,
44,Shri Naranbhai Kachhadiya ,15,5,
45,Shri C. R. Patil ,18,2,
46,Shri Lalubhai Patel ,14,6,
47,Shri Shivkumar Udasi ,11,9,
48,Shri Varun Gandhi ,20,0,
49,Shri Nalin Kateel ,9,11,
50,Shri Devji Patel ,14,6,
51,Shri Ajay Tamta ,16,4,
52,Shri Sudarshan Bhagat ,5,15,
53,Shri Rajyavardhan Singh Rathore ,14,6,
54,Shri Jayant Sinha ,4,16,
55,Shri Vishnu Dayal Ram ,8,12,
56,Shri Bhagwant Kubha ,14,6,
57,Shri B. Y. Raghavendra ,5,15,
58,Shri Pratap Simha ,12,8,
59,Shri Subhash Baheria ,19,1,
60,Shri Sunil Kumar Singh ,5,15,
61,Shri Jugal Kishore ,19,1,
62,Shri Ram Swaroop Sharma ,19,1,
63,Shri Bidyut Mahato ,4,16,
64,Shri Vinodbhai Chavda ,18,2,
65,Shri Karadi Sanganna Amarappa ,10,10,
66,Shri Janardan Mishra ,20,0,
67,Shri Rodmal Nagar ,20,0,
68,Shri Ashok Nete ,19,1,
69,Shri Ramdas C. Tadas ,18,2,
70,Shri Sanjay Kaka Patil ,12,8,
71,Shri Kapil Patil ,18,2,
72,Shri Janardan Singh Sigriwal ,20,0,
73,Shri Saumitra Khan ,19,1,
74,Shri Satish Kumar Gautam ,19,1,
75,Shri Guharam Ajgalley ,19,1,
76,Shri Ajay Bhatt ,20,0,
77,Shri Tirath Singh Rawat ,20,0,
78,Shri Ramesh Bidhuri ,18,2,
79,Shri Manoj Tiwari ,15,5,
80,Shri Parvesh Verma ,19,1,
81,Shri Tejasvi Surya ,15,5,
82,Shri Ramesh Dhaduk ,13,7,
83,Shri Parbatbhai Patel ,20,0,
84,Shri Mitesh Patel (Bakabhai) ,14,6,
85,Dr. Mahendrabhai Munjapara ,20,0,
86,Shri Hasmukhbhai S. Patel ,17,3,
87,Shri Bharatsinh Dabhi ,12,8,
88,Dr. Umesh Jadhav ,17,3,
89,Shri S. Muniswamy ,10,10,
90,Shri Raja Amreshwara Naik ,20,0,
91,Shri Y. Devendrappa ,10,10,
92,Shri B. N. Bache Gowda ,3,17,
93,Shri Annasaheb Jolle ,8,12,
94,Shri A. Narayanaswamy ,8,12,
95,Shri Ratan Rathod ,18,2,
96,Dr. Subhas Sarkar ,19,1,
97,Shri Shantanu Thakur ,20,0,
100,Smt. Maneka Sanjay Gandhi ,17,3,
101,Shri Sukhbir Singh Badal ,5,15,
102,Dr. Virendra Kumar ,19,1,
103,Shri Brijbhushan Sharan Singh ,19,1,
107,Shri Radha Mohan Singh ,19,1,
108,Smt. Hema Malini ,10,10,
109,Shri Mansukhbhai Vasava ,20,0,
110,Shri Srinivas Prasad ,8,12,
111,Shri Sakshi Maharaj ,20,0,
112,Shri Pankaj Choudhary ,20,0,
113,Shri S.S. Ahluwalia ,14,6,
114,Shri Virendra Singh ,17,3,
115,Shri Arvind Sharma ,18,2,
116,Shri P. C. Gaddigoudar ,20,0,
117,Shri Dushyant Singh ,18,2,
118,Shri Rajesh Verma ,17,3,
119,Shri Kirti Vardhan Singh ,19,1,
120,Shri Sushil Kumar Singh ,19,1,
121,Smt. Darshana Vikram Jardosh ,17,3,
122,Smt. Mala Rajya Laxmi Shah ,19,1,
123,Smt. Jaskaur Meena ,20,0,
124,Km. Shobha Karandlaje ,10,10,
125,Smt. Meenakashi Lekhi ,19,1,
126,Smt. Poonamben Maadam ,18,2,
127,Smt. Rita Bahuguna Joshi ,14,6,
128,Smt. Kirron Kher ,19,1,
129,Smt. Ranjanben Bhatt ,15,5,
130,Smt. Rekha Verma ,19,1,
131,Dr. Bharatiben Shyal ,19,1,
132,Dr. (Smt.) Pritam Gopinath Munde ,16,4,
133,Dr. Heena Gavit ,16,4,
134,Smt. Riti Pathak ,20,0,
135,Smt. Navnit Ravi Rana ,16,4,
136,Smt. Raksha Khadse ,15,5,
137,Smt. Aparajita Sarangi ,19,1,
138,Smt. Sumalatha Ambareesh ,12,8,
139,Ms. Locket Chatterjee ,20,0,
140,Smt. Keshari Patel ,20,0,
141,Smt. Ranjeeta Koli ,20,0,
142,Dr. Sanghamitra Maurya ,20,0,
143,Shri Sumedhanand Saraswati ,19,1,
144,Shri Ajay Nishad ,18,2,
145,Shri Pradeep Kumar Singh ,20,0,
146,Shri Gopal Shetty ,20,0,
147,Shri Ramapati Ram Tripathi ,19,1,
148,Shri Subhash Bhamre ,16,4,
149,Shri Dilip Ghosh ,16,4,
150,Shri Kanakmal Katara ,18,2,
151,Shri Rajveer Singh (Raju Bhaiya) ,19,1,
152,Dr. Manoj Rajoria ,19,1,
153,Shri Rahul Kaswan ,19,1,
154,Shri Ramcharan Bohra ,18,2,
155,Shri Sukhbir Singh Jaunpuria ,20,0,
156,Shri Sunny Deol ,13,7,
157,Shri Bhola Singh ,20,0,
158,Shri Devendra Bhole ,18,2,
159,Shri Ajay Kumar ,17,3,
160,Shri Arjun Lal Meena ,20,0,
161,Dr. Chandrasen Jadon ,20,0,
162,Shri Jyotirmay Singh Mahato ,17,3,
163,Shri Nisith Pramanik ,20,0,
164,Shri John Barla ,20,0,
165,Dr. Jayanta Kumar Roy ,20,0,
166,Dr. Sukanta Majumdar ,20,0,
167,Shri Jagannath Sarkar ,20,0,
168,Shri Arjun Singh ,19,1,
169,Shri Kunar Hembram ,20,0,
170,Shri Dhal Singh Bisen ,20,0,
171,Shri Raju Bista ,19,1,
172,Shri Khagen Murmu ,19,1,
173,Shri Ravindra Shyamnarayan Shukla alias Ravi Kishan ,16,4,
174,Shri Vijay Kumar Dubey ,16,4,
175,Shri Bholanath (B.P. Saroj) ,20,0,
176,Shri Upendra Rawat ,15,5,
177,Shri Satyadev Pachauri ,18,2,
178,Shri Sangam Lal Gupta ,18,2,
179,Shri Ramesh Chand ,20,0,
180,Shri Rebati Tripura ,20,0,
181,Shri Bandi Sanjay Kumar ,18,2,
182,Shri Rajkumar Chahar ,20,0,
183,Shri Praveen Nishad ,18,2,
184,Shri Pradeep Kumar ,20,0,
